DAY_MT	ET_mm/day
4/15/17	0.545076112
4/16/17	0.441354112
4/17/17	0.468463143
4/18/17	0.590904086
4/19/17	0.64436808
4/20/17	0.236343627
4/21/17	0.570332109
4/22/17	0.764874514
4/23/17	0.628458667
4/24/17	0.355597935
4/25/17	0.359850696
4/26/17	0.634648961
4/27/17	0.391469854
4/28/17	0.481737417
4/29/17	0.9622955
4/30/17	1.917587092
5/1/17	0.993297208
5/2/17	0.593106888
5/3/17	1.289245462
5/4/17	0.996238132
5/5/17	1.093344164
5/6/17	0.866360315
5/7/17	0.952012883
5/8/17	1.108886992
5/9/17	1.01831937
5/10/17	1.252825853
5/11/17	1.685268206
5/12/17	1.463353715
5/13/17	1.940681441
5/14/17	1.518917216
5/15/17	1.543689896
5/16/17	1.56529241
5/17/17	0.768307854
5/18/17	1.070583769
5/19/17	1.612988422
5/20/17	2.174209966
5/21/17	1.976066395
5/22/17	2.367189643
5/23/17	2.700788151
5/24/17	2.287493288
5/25/17	1.423842027
5/26/17	2.452404025
5/27/17	1.725174001
5/28/17	2.465562383
5/29/17	2.681661239
5/30/17	2.351069458
5/31/17	2.058370738
6/1/17	1.654889577
6/2/17	1.978813525
6/3/17	2.9037207
6/4/17	2.81617819
6/5/17	2.775085536
6/6/17	2.547572376
6/7/17	2.829517453
6/8/17	3.182448418
6/9/17	2.745527169
6/10/17	3.845418078
6/11/17	3.547610082
6/12/17	4.142433996
6/13/17	3.455524699
6/14/17	3.516424213
6/15/17	3.914782126
6/16/17	4.194325969
6/17/17	3.774145781
6/18/17	3.782998972
6/19/17	3.750259674
6/20/17	3.600181161
6/21/17	3.731269376
6/22/17	3.973555204
6/23/17	4.266440994
6/24/17	4.449790487
6/25/17	4.237076087
6/26/17	4.101348123
6/27/17	4.27386467
6/28/17	4.015647708
6/29/17	4.593076833
6/30/17	4.400630462
7/1/17	3.995930395
7/2/17	2.251898704
7/3/17	4.011623675
7/4/17	3.656603825
7/5/17	3.474530514
7/6/17	2.987776664
7/7/17	3.035908003
