	Year	Month	Day	Hour	Minute	Aspen	Aspen-Conifer	Conifer1	Conifer2	Conifer3	Aspen	Aspen-Conifer	Conifer1	Conifer2	Conifer3
6/11/19	2019	6	11	0	15	0.033222417	NaN	NaN	NaN	NaN	0.928811932	0.591576954	0	0	0
	2019	6	11	1	15	0.031483913	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	2	15	0.030514505	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	3	15	0.027184179	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	4	15	0.026565544	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	5	15	0.026104111	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	6	15	0.028179289	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	7	15	0.021110418	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	8	15	0.019937454	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	9	15	0.026518349	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	10	15	0.036154236	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	11	15	0.041819775	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	12	15	0.04492717	NaN	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	13	15	0.047846002	0.113643144	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	14	15	0.047162415	0.084830547	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	15	15	0.048118898	0.08100086	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	16	15	0.049888612	0.075380618	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	17	15	0.050987439	0.062745556	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	18	15	0.053640935	0.055107706	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	19	15	0.055225747	0.040875931	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	20	15	0.052032242	0.029986388	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	21	15	0.046351133	0.020069121	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	22	15	0.043004659	0.014728145	NaN	NaN	NaN	0	0	0	0	0
	2019	6	11	23	15	0.04083249	0.013208938	NaN	NaN	NaN	0	0	0	0	0
6/12/19	2019	6	12	0	15	0.037247312	0.013447402	NaN	NaN	NaN	1.272531575	1.102295065	0.934326084	0	0
	2019	6	12	1	15	0.036606796	0.013501021	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	2	15	0.034518019	0.014593237	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	3	15	0.033672522	0.015028087	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	4	15	0.030475356	0.015423341	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	5	15	0.030748674	0.015381795	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	6	15	0.029847069	0.016051265	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	7	15	0.024000153	0.034509632	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	8	15	0.027550979	0.061726379	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	9	15	0.037994832	0.083272862	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	10	15	0.051007523	0.084810272	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	11	15	0.061715875	0.09244263	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	12	15	0.067136021	0.087304062	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	13	15	0.069492487	0.082935084	NaN	NaN	NaN	0	0	0	0	0
	2019	6	12	14	15	0.072194024	0.080318285	0.129305752	NaN	NaN	0	0	0	0	0
	2019	6	12	15	15	0.072669144	0.080554829	0.190158454	NaN	NaN	0	0	0	0	0
	2019	6	12	16	15	0.080480338	0.073709834	0.144347556	NaN	NaN	0	0	0	0	0
	2019	6	12	17	15	0.076202565	0.065691164	0.115583358	NaN	NaN	0	0	0	0	0
	2019	6	12	18	15	0.076294128	0.052748926	0.096177768	NaN	NaN	0	0	0	0	0
	2019	6	12	19	15	0.075332964	0.043776162	0.084593025	NaN	NaN	0	0	0	0	0
	2019	6	12	20	15	0.06987064	0.030145103	0.065028681	NaN	NaN	0	0	0	0	0
	2019	6	12	21	15	0.063520189	0.018300278	0.044778967	NaN	NaN	0	0	0	0	0
	2019	6	12	22	15	0.060527139	0.013801058	0.033208388	NaN	NaN	0	0	0	0	0
	2019	6	12	23	15	0.053426826	0.012822357	0.031144135	NaN	NaN	0	0	0	0	0
6/13/19	2019	6	13	0	15	0.049667204	0.012639849	0.029549373	NaN	NaN	1.919734471	1.072126474	2.103586694	0	0.284438247
	2019	6	13	1	15	0.048775787	0.01290383	0.030977511	NaN	NaN	0	0	0	0	0
	2019	6	13	2	15	0.045270834	0.013597243	0.032557346	NaN	NaN	0	0	0	0	0
	2019	6	13	3	15	0.043815934	0.013335436	0.031274421	NaN	NaN	0	0	0	0	0
	2019	6	13	4	15	0.042993834	0.014611975	0.030781516	NaN	NaN	0	0	0	0	0
	2019	6	13	5	15	0.040037053	0.014129725	0.030589993	NaN	NaN	0	0	0	0	0
	2019	6	13	6	15	0.037416531	0.014473409	0.029417149	NaN	NaN	0	0	0	0	0
	2019	6	13	7	15	0.040773376	0.030620404	0.06283939	NaN	NaN	0	0	0	0	0
	2019	6	13	8	15	0.052225123	0.055113938	0.102360861	NaN	NaN	0	0	0	0	0
	2019	6	13	9	15	0.069151025	0.079344413	0.139587521	NaN	NaN	0	0	0	0	0
	2019	6	13	10	15	0.086534618	0.093228628	0.166287615	NaN	NaN	0	0	0	0	0
	2019	6	13	11	15	0.110871863	0.09789091	0.174970158	NaN	NaN	0	0	0	0	0
	2019	6	13	12	15	0.117851033	0.090865356	0.183969331	NaN	NaN	0	0	0	0	0
	2019	6	13	13	15	0.123788039	0.08796628	0.172889194	NaN	NaN	0	0	0	0	0
	2019	6	13	14	15	0.125766177	0.086005335	0.163254401	NaN	0.051789085	0	0	0	0	0
	2019	6	13	15	15	0.121107239	0.071067385	0.143378091	NaN	0.040273381	0	0	0	0	0
	2019	6	13	16	15	0.131614735	0.081414607	0.161426686	NaN	0.050863195	0	0	0	0	0
	2019	6	13	17	15	0.125939651	0.067291319	0.134706232	NaN	0.045584202	0	0	0	0	0
	2019	6	13	18	15	0.123051952	0.055958752	0.110276596	NaN	0.039291125	0	0	0	0	0
	2019	6	13	19	15	0.113480075	0.035601704	0.076289826	NaN	0.024302001	0	0	0	0	0
	2019	6	13	20	15	0.09208903	0.018098827	0.039677006	NaN	0.012609008	0	0	0	0	0
	2019	6	13	21	15	0.075447685	0.012671475	0.025915161	NaN	0.008197021	0	0	0	0	0
	2019	6	13	22	15	0.057126534	0.00760912	0.016361662	NaN	0.006069351	0	0	0	0	0
	2019	6	13	23	15	0.044939139	0.005686554	0.014249654	NaN	0.005459878	0	0	0	0	0
6/14/19	2019	6	14	0	15	0.040913869	0.004851872	0.014712241	NaN	0.006328984	2.220525483	0.950714327	1.95648876	0	0.59970607
	2019	6	14	1	15	0.03913422	0.004612025	0.018846213	NaN	0.007771089	0	0	0	0	0
	2019	6	14	2	15	0.03680569	0.007511554	0.022219367	NaN	0.008043498	0	0	0	0	0
	2019	6	14	3	15	0.033666508	0.00759585	0.022418757	NaN	0.009153406	0	0	0	0	0
	2019	6	14	4	15	0.033237612	0.008736304	0.024631416	NaN	0.008517559	0	0	0	0	0
	2019	6	14	5	15	0.031922135	0.007837929	0.020745961	NaN	0.007327799	0	0	0	0	0
	2019	6	14	6	15	0.030591194	0.008953419	0.020943223	NaN	0.006894658	0	0	0	0	0
	2019	6	14	7	15	0.046891011	0.017817876	0.044201614	NaN	0.011876329	0	0	0	0	0
	2019	6	14	8	15	0.064470496	0.042189761	0.085065231	NaN	0.022520572	0	0	0	0	0
	2019	6	14	9	15	0.089424603	0.065020134	0.122715839	NaN	0.030448665	0	0	0	0	0
	2019	6	14	10	15	0.120514081	0.08674715	0.159266598	NaN	0.044887389	0	0	0	0	0
	2019	6	14	11	15	0.130117019	0.085204939	0.164089824	NaN	0.047631213	0	0	0	0	0
	2019	6	14	12	15	0.1436618	0.077819204	0.160480373	NaN	0.045473812	0	0	0	0	0
	2019	6	14	13	15	0.138138164	0.07576241	0.15315788	NaN	0.045899939	0	0	0	0	0
	2019	6	14	14	15	0.158629001	0.083854637	0.17292585	NaN	0.052080839	0	0	0	0	0
	2019	6	14	15	15	0.148333936	0.070380407	0.141534039	NaN	0.044771393	0	0	0	0	0
	2019	6	14	16	15	0.153914637	0.071733636	0.14203335	NaN	0.045002787	0	0	0	0	0
	2019	6	14	17	15	0.150750288	0.062584007	0.124512616	NaN	0.041547091	0	0	0	0	0
	2019	6	14	18	15	0.145235405	0.05427913	0.109728833	NaN	0.037814375	0	0	0	0	0
	2019	6	14	19	15	0.134531134	0.04075859	0.090460099	NaN	0.028622996	0	0	0	0	0
	2019	6	14	20	15	0.114030288	0.028595771	0.058174961	NaN	0.018757638	0	0	0	0	0
	2019	6	14	21	15	0.092585193	0.017334031	0.035646351	NaN	0.011908195	0	0	0	0	0
	2019	6	14	22	15	0.076443093	0.011317633	0.026132541	NaN	0.008619089	0	0	0	0	0
	2019	6	14	23	15	0.066584106	0.009216058	0.021845583	NaN	0.007806755	0	0	0	0	0
6/15/19	2019	6	15	0	15	0.065391753	0.009845363	0.021118074	NaN	0.007525262	2.385789416	0.975331016	1.909060297	3.235143817	0.607743477
	2019	6	15	1	15	0.057405188	0.010789432	0.023058964	NaN	0.007937919	0	0	0	0	0
	2019	6	15	2	15	0.053479492	0.010444262	0.023402979	NaN	0.008119427	0	0	0	0	0
	2019	6	15	3	15	0.051322994	0.010843188	0.02444984	NaN	0.008022387	0	0	0	0	0
	2019	6	15	4	15	0.049047335	0.010938708	0.023976462	NaN	0.00785302	0	0	0	0	0
	2019	6	15	5	15	0.047330262	0.011871621	0.024516575	NaN	0.007759242	0	0	0	0	0
	2019	6	15	6	15	0.045183564	0.012645061	0.027050566	NaN	0.007763331	0	0	0	0	0
	2019	6	15	7	15	0.063093845	0.026581543	0.054815649	NaN	0.014410466	0	0	0	0	0
	2019	6	15	8	15	0.084553364	0.047994563	0.091717287	NaN	0.022425751	0	0	0	0	0
	2019	6	15	9	15	0.112122063	0.067611347	0.128732358	NaN	0.035347263	0	0	0	0	0
	2019	6	15	10	15	0.126613117	0.081416379	0.150061983	NaN	0.044227579	0	0	0	0	0
	2019	6	15	11	15	0.152259489	0.084835772	0.151274923	NaN	0.044272798	0	0	0	0	0
	2019	6	15	12	15	0.149949739	0.082915144	0.152903106	0.481844352	0.050431424	0	0	0	0	0
	2019	6	15	13	15	0.161132205	0.083656685	0.160998195	0.443729673	0.053004537	0	0	0	0	0
	2019	6	15	14	15	0.168471339	0.083584581	0.160403985	0.44489156	0.053620317	0	0	0	0	0
	2019	6	15	15	15	0.169273492	0.076508587	0.154581266	0.410061405	0.052244973	0	0	0	0	0
	2019	6	15	16	15	0.158006135	0.069187521	0.132033292	0.381378148	0.047444914	0	0	0	0	0
	2019	6	15	17	15	0.143376894	0.052232075	0.104925428	0.295828827	0.035017186	0	0	0	0	0
	2019	6	15	18	15	0.125227792	0.044734273	0.08940945	0.239793322	0.028718543	0	0	0	0	0
	2019	6	15	19	15	0.114969609	0.03682062	0.074206364	0.187825109	0.025742216	0	0	0	0	0
	2019	6	15	20	15	0.089744399	0.024671602	0.050789794	0.133033622	0.018020359	0	0	0	0	0
	2019	6	15	21	15	0.078542077	0.014969959	0.034809537	0.0967721	0.01224643	0	0	0	0	0
	2019	6	15	22	15	0.063225393	0.010991219	0.027574498	0.069729187	0.008252222	0	0	0	0	0
	2019	6	15	23	15	0.056067876	0.009241511	0.022249722	0.050256512	0.007335911	0	0	0	0	0
6/16/19	2019	6	16	0	15	0.049721958	0.008869241	0.020835743	0.042179303	0.007314271	2.668890187	0.96984436	1.870215945	4.528823782	0.622505965
	2019	6	16	1	15	0.045077249	0.008180896	0.019520372	0.03400974	0.007127355	0	0	0	0	0
	2019	6	16	2	15	0.041919615	0.008128685	0.019534949	0.029187717	0.007427395	0	0	0	0	0
	2019	6	16	3	15	0.039059098	0.008372077	0.019994865	0.027187459	0.008300615	0	0	0	0	0
	2019	6	16	4	15	0.040203095	0.009973392	0.02201659	0.028362884	0.008510089	0	0	0	0	0
	2019	6	16	5	15	0.036242014	0.010549922	0.020831401	0.026491305	0.007669715	0	0	0	0	0
	2019	6	16	6	15	0.032710425	0.012271243	0.02056524	0.02501574	0.007974537	0	0	0	0	0
	2019	6	16	7	15	0.054448239	0.021187282	0.044047284	0.03025041	0.012416736	0	0	0	0	0
	2019	6	16	8	15	0.086254161	0.044531398	0.086127189	0.095181943	0.022000256	0	0	0	0	0
	2019	6	16	9	15	0.101881329	0.054240679	0.104314033	0.172932989	0.026863498	0	0	0	0	0
	2019	6	16	10	15	0.151030839	0.082403991	0.139248122	0.327246767	0.037198048	0	0	0	0	0
	2019	6	16	11	15	0.17113402	0.08355466	0.158072043	0.423659699	0.04940897	0	0	0	0	0
	2019	6	16	12	15	0.173230758	0.078553088	0.15042763	0.427676792	0.050010073	0	0	0	0	0
	2019	6	16	13	15	0.182367022	0.075567939	0.147144678	0.409180067	0.048760298	0	0	0	0	0
	2019	6	16	14	15	0.181078567	0.077476814	0.14827106	0.437280879	0.050367748	0	0	0	0	0
	2019	6	16	15	15	0.18679955	0.078233578	0.146938471	0.416545303	0.049295883	0	0	0	0	0
	2019	6	16	16	15	0.192909455	0.080907231	0.146825571	0.420902692	0.051475961	0	0	0	0	0
	2019	6	16	17	15	0.174038371	0.060994424	0.115723298	0.322733288	0.042590104	0	0	0	0	0
	2019	6	16	18	15	0.173554652	0.054095698	0.103034282	0.273202094	0.040746713	0	0	0	0	0
	2019	6	16	19	15	0.154281852	0.036834733	0.075851129	0.202157584	0.03384724	0	0	0	0	0
	2019	6	16	20	15	0.133933258	0.028292828	0.062476176	0.127852841	0.022889028	0	0	0	0	0
	2019	6	16	21	15	0.106075353	0.021285199	0.043936447	0.099104814	0.013978619	0	0	0	0	0
	2019	6	16	22	15	0.087653546	0.014088253	0.029539234	0.07274337	0.009102951	0	0	0	0	0
	2019	6	16	23	15	0.073285761	0.011251109	0.024940138	0.057738102	0.007229862	0	0	0	0	0
6/17/19	2019	6	17	0	15	0.06311478	0.010972019	0.022905818	0.047594059	0.007160278	2.480917867	0.780198342	1.374971937	3.619871785	0.423680291
	2019	6	17	1	15	0.061494221	0.011846966	0.023153109	0.041479619	0.006883197	0	0	0	0	0
	2019	6	17	2	15	0.057077156	0.012766175	0.023247484	0.037528106	0.007049026	0	0	0	0	0
	2019	6	17	3	15	0.050429961	0.012548043	0.018787261	0.031953371	0.00622898	0	0	0	0	0
	2019	6	17	4	15	0.053223584	0.013876283	0.020352868	0.030271432	0.00639288	0	0	0	0	0
	2019	6	17	5	15	0.051475577	0.015040324	0.02130456	0.029304394	0.006903592	0	0	0	0	0
	2019	6	17	6	15	0.053259309	0.017161306	0.024879895	0.032013429	0.007362612	0	0	0	0	0
	2019	6	17	7	15	0.065027407	0.022245177	0.037363709	0.046556435	0.009489953	0	0	0	0	0
	2019	6	17	8	15	0.113269848	0.037467705	0.072025724	0.105237087	0.017872254	0	0	0	0	0
	2019	6	17	9	15	0.171562516	0.061579866	0.117446679	0.229515424	0.027011408	0	0	0	0	0
	2019	6	17	10	15	0.186228502	0.056165126	0.102769679	0.297183493	0.026020492	0	0	0	0	0
	2019	6	17	11	15	0.133991112	0.040613731	0.067867705	0.21830017	0.017396551	0	0	0	0	0
	2019	6	17	12	15	0.14081735	0.031986168	0.056795293	0.18568522	0.015463542	0	0	0	0	0
	2019	6	17	13	15	0.200251409	0.071181687	0.126029758	0.44436138	0.037722295	0	0	0	0	0
	2019	6	17	14	15	0.172258634	0.0688547	0.122611054	0.382980801	0.036745765	0	0	0	0	0
	2019	6	17	15	15	0.142630176	0.058245591	0.1073168	0.324031022	0.03756245	0	0	0	0	0
	2019	6	17	16	15	0.130660165	0.042727323	0.082311547	0.233755969	0.028566443	0	0	0	0	0
	2019	6	17	17	15	0.11805647	0.042618876	0.077629791	0.217588269	0.026554438	0	0	0	0	0
	2019	6	17	18	15	0.10700874	0.034229591	0.065237795	0.179718421	0.022040064	0	0	0	0	0
	2019	6	17	19	15	0.105845824	0.029871805	0.052192379	0.158472594	0.022782912	0	0	0	0	0
	2019	6	17	20	15	0.094526079	0.027581869	0.045487489	0.123185881	0.019862234	0	0	0	0	0
	2019	6	17	21	15	0.092746687	0.024331622	0.043117822	0.106061663	0.015983887	0	0	0	0	0
	2019	6	17	22	15	0.064694864	0.019425072	0.026648774	0.070311284	0.009015912	0	0	0	0	0
	2019	6	17	23	15	0.051267496	0.016861317	0.017488944	0.046782262	0.005609126	0	0	0	0	0
6/18/19	2019	6	18	0	15	0.037834761	0.015583946	0.013267002	0.032029625	0.004471448	1.186320137	0.609758906	0.619373313	1.784604182	0.210509564
	2019	6	18	1	15	0.038571563	0.01609248	0.013320109	0.026376322	0.004138166	0	0	0	0	0
	2019	6	18	2	15	0.032533881	0.015428066	0.012943606	0.023948992	0.003804778	0	0	0	0	0
	2019	6	18	3	15	0.027875668	0.015862029	0.011863843	0.021787063	0.004016631	0	0	0	0	0
	2019	6	18	4	15	0.026779544	0.015525045	0.010246853	0.018330691	0.003376067	0	0	0	0	0
	2019	6	18	5	15	0.024894898	0.015620837	0.009425526	0.015899853	0.003492569	0	0	0	0	0
	2019	6	18	6	15	0.024298809	0.015382832	0.009775361	0.017181387	0.004129168	0	0	0	0	0
	2019	6	18	7	15	0.026504621	0.01623753	0.010967565	0.018784521	0.006900319	0	0	0	0	0
	2019	6	18	8	15	0.051106828	0.023838934	0.030148618	0.061504156	0.012183271	0	0	0	0	0
	2019	6	18	9	15	0.060595542	0.033078126	0.044764554	0.117268742	0.016072147	0	0	0	0	0
	2019	6	18	10	15	0.090463475	0.042608232	0.066621783	0.217238206	0.025194743	0	0	0	0	0
	2019	6	18	11	15	0.091733967	0.044668485	0.061295505	0.196881353	0.020448627	0	0	0	0	0
	2019	6	18	12	15	0.110705636	0.056014109	0.088747029	0.273202374	0.029135259	0	0	0	0	0
	2019	6	18	13	15	0.085057291	0.047023298	0.070733573	0.219632143	0.020914543	0	0	0	0	0
	2019	6	18	14	15	0.068542589	0.026009964	0.02769421	0.104926854	0.008775878	0	0	0	0	0
	2019	6	18	15	15	0.08860675	0.030690875	0.033180197	0.125233999	0.008044358	0	0	0	0	0
	2019	6	18	16	15	0.064195902	0.028518895	0.022393774	0.085308422	0.00569478	0	0	0	0	0
	2019	6	18	17	15	0.05717368	0.030076057	0.026768348	0.077450877	0.00760612	0	0	0	0	0
	2019	6	18	18	15	0.042575	0.025086331	0.01873868	0.055482434	0.005549168	0	0	0	0	0
	2019	6	18	19	15	0.033065712	0.020837147	0.011716171	0.034213049	0.004800838	0	0	0	0	0
	2019	6	18	20	15	0.030014882	0.019051101	0.007428639	0.019315133	0.003663903	0	0	0	0	0
	2019	6	18	21	15	0.026326999	0.018993971	0.006013895	0.010247452	0.002918613	0	0	0	0	0
	2019	6	18	22	15	0.022789554	0.018949244	0.005731736	0.006229728	0.002786126	0	0	0	0	0
	2019	6	18	23	15	0.024072585	0.018581372	0.005586736	0.006130806	0.002392044	0	0	0	0	0
6/19/19	2019	6	19	0	15	0.022032604	0.018672084	0.005193839	0.006091919	0.002121422	3.295055086	1.052348976	1.587253629	3.967689373	0.547109227
	2019	6	19	1	15	0.021419338	0.019417064	0.005094507	0.005321716	0.002139336	0	0	0	0	0
	2019	6	19	2	15	0.020023052	0.019119573	0.004895438	0.005262339	0.002201039	0	0	0	0	0
	2019	6	19	3	15	0.019168772	0.019962067	0.004781381	0.004566229	0.002351738	0	0	0	0	0
	2019	6	19	4	15	0.019720934	0.019906117	0.004915775	0.004551617	0.002235268	0	0	0	0	0
	2019	6	19	5	15	0.017126158	0.020214998	0.005640923	0.000926484	0.003298198	0	0	0	0	0
	2019	6	19	6	15	0.016367878	0.020440572	0.008736749	0.003774203	0.004331933	0	0	0	0	0
	2019	6	19	7	15	0.017378129	0.019214187	0.01233303	0.002320677	0.005036535	0	0	0	0	0
	2019	6	19	8	15	0.043702221	0.024144011	0.026961027	0.022219667	0.006766273	0	0	0	0	0
	2019	6	19	9	15	0.118184803	0.038864105	0.053137707	0.062730693	0.015735282	0	0	0	0	0
	2019	6	19	10	15	0.235372031	0.082495566	0.104745726	0.123572229	0.025670131	0	0	0	0	0
	2019	6	19	11	15	0.24413737	0.080921467	0.122887312	0.224785535	0.037490378	0	0	0	0	0
